Config,Dataset,Kernel,C,Degree,Gamma,Test Accuracy (%),Training Time (ms),Support Vectors,Model File
Poly-1,MNIST,poly,0.1,2,scale,93.25,11341.31,5126,models/svm_MNIST_Poly-1.pth
Poly-2,MNIST,poly,1.0,2,scale,95.01,6017.65,3305,models/svm_MNIST_Poly-2.pth
Poly-3,MNIST,poly,10.0,2,scale,95.09,5345.49,3069,models/svm_MNIST_Poly-3.pth
Poly-4,MNIST,poly,0.1,3,scale,94.41,9512.27,4466,models/svm_MNIST_Poly-4.pth
Poly-5,MNIST,poly,1.0,3,scale,95.64,6231.7,3338,models/svm_MNIST_Poly-5.pth
Poly-6,MNIST,poly,10.0,3,scale,95.62,5662.27,3305,models/svm_MNIST_Poly-6.pth
Poly-7,MNIST,poly,1.0,4,scale,95.86,6426.3,3557,models/svm_MNIST_Poly-7.pth
RBF-1,MNIST,rbf,0.1,-,scale,89.03,19195.5,6975,models/svm_MNIST_RBF-1.pth
RBF-2,MNIST,rbf,1.0,-,scale,94.29,10965.16,4511,models/svm_MNIST_RBF-2.pth
RBF-3,MNIST,rbf,10.0,-,scale,94.94,10106.87,4279,models/svm_MNIST_RBF-3.pth
RBF-4,MNIST,rbf,100.0,-,scale,94.93,10037.32,4277,models/svm_MNIST_RBF-4.pth
RBF-5,MNIST,rbf,1.0,-,0.001,94.21,9545.16,4370,models/svm_MNIST_RBF-5.pth
RBF-6,MNIST,rbf,1.0,-,0.01,78.51,33470.19,7665,models/svm_MNIST_RBF-6.pth
RBF-7,MNIST,rbf,10.0,-,0.001,95.2,8167.06,3905,models/svm_MNIST_RBF-7.pth
RBF-8,MNIST,rbf,10.0,-,0.01,79.43,33284.42,7674,models/svm_MNIST_RBF-8.pth
Poly-1,FashionMNIST,poly,0.1,2,scale,82.5,8525.18,5393,models/svm_FashionMNIST_Poly-1.pth
Poly-2,FashionMNIST,poly,1.0,2,scale,85.53,5846.35,4299,models/svm_FashionMNIST_Poly-2.pth
Poly-3,FashionMNIST,poly,10.0,2,scale,85.17,5246.28,4102,models/svm_FashionMNIST_Poly-3.pth
Poly-4,FashionMNIST,poly,0.1,3,scale,84.22,7458.06,4946,models/svm_FashionMNIST_Poly-4.pth
Poly-5,FashionMNIST,poly,1.0,3,scale,86.48,5809.72,4286,models/svm_FashionMNIST_Poly-5.pth
Poly-6,FashionMNIST,poly,10.0,3,scale,85.66,5633.85,4209,models/svm_FashionMNIST_Poly-6.pth
Poly-7,FashionMNIST,poly,1.0,4,scale,86.3,6238.64,4363,models/svm_FashionMNIST_Poly-7.pth
RBF-1,FashionMNIST,rbf,0.1,-,scale,79.52,13996.68,6613,models/svm_FashionMNIST_RBF-1.pth
RBF-2,FashionMNIST,rbf,1.0,-,scale,85.38,8841.54,5005,models/svm_FashionMNIST_RBF-2.pth
RBF-3,FashionMNIST,rbf,10.0,-,scale,86.51,8156.18,4855,models/svm_FashionMNIST_RBF-3.pth
RBF-4,FashionMNIST,rbf,100.0,-,scale,86.36,8170.22,4872,models/svm_FashionMNIST_RBF-4.pth
RBF-5,FashionMNIST,rbf,1.0,-,0.001,85.22,8114.87,4922,models/svm_FashionMNIST_RBF-5.pth
RBF-6,FashionMNIST,rbf,1.0,-,0.01,73.08,32097.78,7789,models/svm_FashionMNIST_RBF-6.pth
RBF-7,FashionMNIST,rbf,10.0,-,0.001,86.39,7438.79,4663,models/svm_FashionMNIST_RBF-7.pth
RBF-8,FashionMNIST,rbf,10.0,-,0.01,73.99,32655.39,7871,models/svm_FashionMNIST_RBF-8.pth
